msg_id,app_protocol,src_port,dst_port,message,timestamp
1,HTTP,50001,80,GET /index.html HTTP/1.1,0.01
2,HTTP,50002,80,GET /login.html HTTP/1.1,0.015
3,HTTP,50003,80,GET /api/status HTTP/1.1,0.02
4,HTTP,80,50001,HTTP/1.1 200 OK (Index),0.025
5,HTTP,50001,80,GET /style.css HTTP/1.1,0.03
6,HTTP,80,50002,HTTP/1.1 200 OK (Login Page),0.035
7,HTTP,50002,80,POST /login_attempt user=admin,0.04
8,HTTP,80,50003,HTTP/1.1 200 OK (Active),0.045
9,HTTP,50004,80,GET /downloads/manual.pdf,0.05
10,HTTP,50005,80,GET /favicon.ico HTTP/1.1,0.055
11,HTTP,80,50001,HTTP/1.1 200 OK (CSS),0.06
12,HTTP,50001,80,GET /script.js HTTP/1.1,0.065
13,HTTP,80,50002,HTTP/1.1 302 Found (Redirect),0.07
14,HTTP,50002,80,GET /dashboard HTTP/1.1,0.075
15,HTTP,80,50004,HTTP/1.1 200 OK (Binary),0.08
16,HTTP,50003,80,GET /api/updates HTTP/1.1,0.085
17,HTTP,80,50005,HTTP/1.1 404 Not Found,0.09
18,HTTP,80,50001,HTTP/1.1 200 OK (JS),0.095
19,HTTP,50004,80,GET /downloads/part2.pdf,0.1
20,HTTP,80,50002,HTTP/1.1 200 OK (Dashboard),0.11
21,HTTP,50005,80,GET /index.html HTTP/1.1,0.115
22,HTTP,80,50003,HTTP/1.1 200 OK (No Update),0.12
23,HTTP,50002,80,GET /user/profile HTTP/1.1,0.125
24,HTTP,80,50004,HTTP/1.1 200 OK,0.13
25,HTTP,80,50005,HTTP/1.1 200 OK,0.135
26,HTTP,50001,80,GET /logout HTTP/1.1,0.14
27,HTTP,80,50001,HTTP/1.1 200 OK (Logged out),0.15
28,HTTP,50003,80,GET /api/logout HTTP/1.1,0.155
29,HTTP,80,50003,HTTP/1.1 200 OK,0.16
30,HTTP,80,50002,HTTP/1.1 200 OK (Profile Data),0.17
